,Date,0,1,2,3,4,5,6,7,8,9
63,2025-01-14,DEEPAKNTR,842.0,25,1,2286.65,2320.80,2340.85,2368.65,2415.75,0
64,2025-01-14,DELHIVERY,1176.0,2.5,0,316.55,322.20,324.0,327.00,332.50,0
65,2025-01-14,DIVISLAB,4387.0,25,1,5720.40,5770.60,5990.3,5818.30,5868.00,0
66,2025-01-14,DIXON,17240.0,125,3,15616.90,15841.05,16274.9,16092.05,16350.70,0
67,2025-01-14,DLF,5011.0,5,4,704.35,713.85,723.25,723.45,733.10,0
68,2025-01-14,DMART,10230.0,25,3,3406.95,3466.90,3476.5,3514.85,3563.85,0
69,2025-01-14,DRREDDY,2458.0,5,0,1321.90,1331.70,1337.55,1341.70,1351.80,0
70,2025-01-14,EICHERMOT,2695.0,25,1,4914.15,4968.00,5029.55,5014.65,5063.90,0
71,2025-01-14,ESCORTS,1719.0,25,1,3310.25,3317.35,3439.0,3369.25,3416.20,1
72,2025-01-14,EXIDEIND,1972.0,2.5,1,365.65,371.20,382.25,376.00,380.85,0
73,2025-01-14,FEDERALBNK,1733.0,1.25,1,188.10,190.35,192.56,193.00,195.55,0
74,2025-01-14,GAIL,3215.0,1.25,1,173.04,175.49,175.96,177.84,180.19,0
75,2025-01-14,GLENMARK,2086.0,10,3,1483.05,1503.80,1515.95,1524.00,1543.10,0
76,2025-01-14,GMRAIRPORT,3529.0,0.5,0,70.19,71.14,72.2,72.19,73.24,0
77,2025-01-14,GNFC,1664.0,5,4,525.65,528.65,535.15,537.30,550.10,1
78,2025-01-14,GODREJCP,1468.0,5,0,1144.25,1153.65,1140.45,1163.65,1173.05,0
79,2025-01-14,GODREJPROP,2305.0,25,3,2220.65,2270.40,2307.95,2318.50,2367.70,0
80,2025-01-14,GRANULES,3705.0,5,4,561.70,571.55,583.75,581.05,597.30,0
81,2025-01-14,GRASIM,4144.0,10,3,2284.30,2303.35,2310.6,2323.25,2343.75,0
82,2025-01-14,GUJGASLTD,1821.0,2.5,4,474.25,479.40,487.05,483.85,489.00,0
83,2025-01-14,HAL,11975.0,25,3,3758.40,3806.20,3828.35,3855.60,3904.00,0
84,2025-01-14,HAVELLS,4739.0,10,1,1514.10,1531.65,1525.0,1551.30,1571.40,0
85,2025-01-14,HCLTECH,122597.0,10,4,1803.10,1822.85,1813.55,1843.00,1862.85,0
86,2025-01-14,HDFCAMC,5209.0,25,5,3816.70,3863.70,3865.05,3915.85,3963.30,0
87,2025-01-14,HDFCBANK,11700.0,5,2,1626.95,1641.35,1646.6,1650.50,1660.40,0
88,2025-01-14,HDFCLIFE,1298.0,5,1,593.35,603.55,600.45,613.55,623.30,1
89,2025-01-14,HEROMOTOCO,4345.0,25,4,4014.05,4062.60,4102.65,4111.95,4159.30,0
90,2025-01-14,HFCL,1574.0,1.25,3,92.10,93.70,98.07,96.00,100.10,0
91,2025-01-14,HINDALCO,5008.0,5,1,563.45,572.85,590.9,582.70,591.85,0
92,2025-01-14,HINDCOPPER,310.0,2.5,2,null,215.85,224.70,240.75,245.40,0
93,2025-01-14,HINDPETRO,3431.0,2.5,0,361.50,366.50,373.25,371.35,380.85,0
94,2025-01-14,HINDUNILVR,9209.0,10,0,2409.10,2429.40,2367.95,2449.55,2471.10,1
95,2025-01-14,HUDCO,2135.0,2.5,1,201.72,207.17,214.29,211.72,215.87,0
96,2025-01-14,ICICIBANK,6425.0,5,2,1220.15,1230.05,1240.3,1239.65,1250.10,0
97,2025-01-14,ICICIGI,2295.0,10,0,1825.85,1845.25,1831.2,1866.45,1885.15,2
98,2025-01-14,ICICIPRULI,680.0,5,2,620.70,631.15,642.15,642.20,650.90,0
99,2025-01-14,IDEA,4423.0,0.5,2,7.08,7.48,8.25,8.43,9.83,1
100,2025-01-14,IDFCFIRSTB,2997.0,0.5,3,59.43,60.43,61.94,61.53,62.43,0
101,2025-01-14,IEX,1709.0,1.25,1,160.56,163.06,166.83,165.51,167.91,0
102,2025-01-14,IGL,3352.0,2.5,0,405.90,410.85,411.25,415.60,420.75,0
103,2025-01-14,INDHOTEL,2912.0,5,2,741.70,751.95,781.4,761.35,771.45,0
104,2025-01-14,INDIAMART,1726.0,10,3,2268.90,2245.30,2254.7,2302.45,2320.45,3
105,2025-01-14,INDIANB,1136.0,5,2,479.95,484.60,505.8,500.20,503.80,0
106,2025-01-14,INDIGO,5024.0,25,1,3923.15,3964.70,3995.0,4010.60,4061.25,0
107,2025-01-14,INDUSINDBK,8546.0,5,0,953.65,963.90,962.1,973.70,983.70,0
108,2025-01-14,INDUSTOWER,3902.0,2.5,1,321.55,326.30,340.3,331.15,336.05,0
109,2025-01-14,INFY,13395.0,10,0,1922.25,1945.05,1940.05,1963.80,1985.40,0
110,2025-01-14,IOC,3572.0,1.25,1,121.07,123.52,126.63,125.92,128.42,0
111,2025-01-14,IPCALAB,1071.0,10,7,1560.30,1461.40,1588.15,1595.95,1609.40,0
112,2025-01-14,IRB,1676.0,0.5,2,49.26,50.26,51.27,51.26,52.11,0
113,2025-01-14,IRCTC,3131.0,5,4,743.45,753.45,757.75,762.95,772.35,0
114,2025-01-14,IRFC,2316.0,1.25,1,127.71,130.11,135.55,132.31,134.91,0
115,2025-01-14,ITC,5396.0,2.5,2,431.05,435.95,436.6,464.55,438.90,0
116,2025-01-14,JINDALSTEL,3554.0,5,3,892.95,902.50,909.9,913.00,922.35,0
117,2025-01-14,JIOFIN,2805.0,2.5,2,261.95,266.75,272.85,271.60,275.45,0
118,2025-01-14,JKCEMENT,2369.0,25,3,4365.85,4369.65,4388.55,4436.90,4517.35,0
119,2025-01-14,JSL,1648.0,5,5,616.95,616.45,625.45,626.55,649.85,0
120,2025-01-14,JSWENERGY,4317.0,5,3,524.55,534.45,547.85,544.70,552.80,0
121,2025-01-14,JSWSTEEL,3568.0,5,1,883.10,892.90,906.05,903.25,912.55,0
122,2025-01-14,JUBLFOOD,1511.0,5,2,702.45,712.00,708.9,721.65,731.00,0
123,2025-01-14,KALYANKJIL,6345.0,10,2,550.05,570.35,596.4,589.85,608.15,0
124,2025-01-14,KEI,983.0,50,2,null,3981.45,3988.00,4067.15,4117.25,1
125,2025-01-14,KOTAKBANK,5118.0,10,2,1724.85,1744.35,1750.6,1763.95,1784.05,0
126,2025-01-14,KPITTECH,914.0,10,2,1280.90,1303.20,1323.95,1327.40,1343.05,0
127,2025-01-14,LALPATHLAB,2047.0,25,4,2754.65,2798.95,2803.05,2858.50,2907.15,0
128,2025-01-14,LAURUSLABS,1251.0,5,2,554.30,564.65,568.0,574.60,583.75,0
129,2025-01-14,LICHSGFIN,2414.0,5,1,534.75,544.25,552.4,553.70,563.10,0
130,2025-01-14,LICI,1979.0,5,7,804.10,813.80,825.4,822.60,832.60,0
131,2025-01-14,LODHA,3564.0,10,4,1113.80,1141.00,1144.15,1159.50,1188.00,0
132,2025-01-14,LT,5076.0,25,1,3414.75,3463.55,3462.6,3511.25,3558.95,0
133,2025-01-14,LTF,933.0,1.25,1,122.05,130.35,133.73,133.55,135.35,0
134,2025-01-14,LTIM,2280.0,25,1,5905.95,5956.80,5751.9,6005.70,6054.40,4
135,2025-01-14,LTTS,2552.0,25,2,4818.60,4862.05,4706.55,4913.35,4949.80,2
136,2025-01-14,LUPIN,5185.0,10,2,2145.00,2164.60,2154.6,2184.25,2203.50,0
137,2025-01-14,M&M,7388.0,25,1,2967.35,3015.15,3049.5,3063.30,3109.25,0
138,2025-01-14,M&MFIN,2536.0,2.5,1,262.70,267.50,266.8,272.65,281.20,1
139,2025-01-14,MANAPPURAM,891.0,1.25,3,170.70,173.10,178.71,176.15,181.15,0
140,2025-01-14,MARICO,1443.0,5,2,652.95,663.00,661.1,672.75,682.55,1
141,2025-01-14,MARUTI,11548.0,50,0,11548.10,11643.50,11741.15,11743.70,11841.05,1
142,2025-01-14,MAXHEALTH,3648.0,10,3,1073.60,1082.60,1084.9,1098.95,1127.00,0
143,2025-01-14,MCX,2623.0,50,0,5536.05,5633.60,5694.05,5731.85,5783.10,0
144,2025-01-14,METROPOLIS,1503.0,10,7,null,1870.05,1882.55,1961.50,1992.45,0
145,2025-01-14,MFSL,615.0,10,0,1044.15,1062.45,1051.4,1091.40,1113.90,1
146,2025-01-14,MGL,5457.0,10,2,1245.00,1263.85,1269.65,1282.80,1302.50,0
147,2025-01-14,MOTHERSON,2476.0,1.25,1,138.64,141.09,145.58,143.59,145.99,0
