name,token,symbol,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
HAVELLS,9819,HAVELLS-EQ,,-1.0,1,,NSE,5.000000
JKCEMENT,13270,JKCEMENT-EQ,,-1.0,1,,NSE,5.000000
BPCL,526,BPCL-EQ,,-1.0,1,,NSE,5.000000
DABUR,772,DABUR-EQ,,-1.0,1,,NSE,5.000000
IEX,220,IEX-EQ,,-1.0,1,,NSE,1.000000
ICICIPRULI,18652,ICICIPRULI-EQ,,-1.0,1,,NSE,5.000000
DLF,14732,DLF-EQ,,-1.0,1,,NSE,5.000000
AUBANK,21238,AUBANK-EQ,,-1.0,1,,NSE,5.000000
CUMMINSIND,1901,CUMMINSIND-EQ,,-1.0,1,,NSE,5.000000
ATUL,263,ATUL-EQ,,-1.0,1,,NSE,5.000000
BOSCHLTD,2181,BOSCHLTD-EQ,,-1.0,1,,NSE,5.000000
ASIANPAINT,236,ASIANPAINT-EQ,,-1.0,1,,NSE,5.000000
HINDCOPPER,17939,HINDCOPPER-EQ,,-1.0,1,,NSE,5.000000
HCLTECH,7229,HCLTECH-EQ,,-1.0,1,,NSE,5.000000
BERGEPAINT,404,BERGEPAINT-EQ,,-1.0,1,,NSE,5.000000
GAIL,4717,GAIL-EQ,,-1.0,1,,NSE,1.000000
CHOLAFIN,685,CHOLAFIN-EQ,,-1.0,1,,NSE,5.000000
ICICIBANK,4963,ICICIBANK-EQ,,-1.0,1,,NSE,5.000000
ABFRL,30108,ABFRL-EQ,,-1.0,1,,NSE,5.000000
BALRAMCHIN,341,BALRAMCHIN-EQ,,-1.0,1,,NSE,5.000000
