,Date,0,1,2,3,4,5,6,7,8,9
0,2024-12-06,SONACOMS,1283.0,5,4,664.35,674.15,669.1,683.80,693.70,6
1,2024-12-06,SRF,1323.0,10,0,2279.95,2300.40,2297.1,2321.40,2340.50,1
2,2024-12-06,SUNPHARMA,2967.0,10,1,1790.30,1810.15,1803.35,1828.00,1846.25,3
3,2024-12-06,SUNTV,1143.0,5,5,753.75,762.90,766.1,774.05,781.00,3
4,2024-12-06,SUPREMEIND,902.0,50,5,4657.55,4741.05,4761.45,4848.30,null,5
5,2024-12-06,SYNGENE,1103.0,5,0,914.25,920.50,918.85,932.60,940.45,0
6,2024-12-06,TATACHEM,1070.0,10,2,1104.95,1124.05,1117.1,1142.90,1165.20,3
7,2024-12-06,TATACOMM,1388.0,10,4,1764.15,1784.60,1792.5,1803.40,1821.90,3
8,2024-12-06,TATACONSUM,2062.0,5,1,952.45,961.90,975.5,970.65,980.40,1
9,2024-12-06,TATAELXSI,3516.0,50,1,7230.65,7328.25,7389.15,7426.25,7518.40,5
10,2024-12-06,TATAMOTORS,12523.0,5,0,771.55,781.30,818.0,790.95,800.70,0
11,2024-12-06,TATAPOWER,18429.0,2.5,0,431.10,435.90,438.95,440.65,445.60,1
12,2024-12-06,TATASTEEL,2535.0,1.25,1,143.43,145.73,148.1,148.03,150.58,0
13,2024-12-06,TCS,12298.0,25,0,4359.00,4407.00,4444.15,4455.95,4502.80,1
14,2024-12-06,TECHM,1819.0,10,0,1748.85,1767.60,1785.0,1786.85,1805.80,3
15,2024-12-06,TIINDIA,728.0,25,5,3667.35,3703.85,3685.9,3751.65,3780.45,3
16,2024-12-06,TITAN,3977.0,25,1,3367.40,3415.35,3467.35,3462.90,3510.80,1
17,2024-12-06,TORNTPHARM,1771.0,25,3,3285.40,3323.75,3337.35,3370.10,3419.95,2
18,2024-12-06,TRENT,32024.0,50,0,6936.00,7033.25,6980.0,7132.20,7231.50,1
19,2024-12-06,TVSMOTOR,970.0,25,4,2471.50,2519.25,2521.0,2566.45,2616.20,0
20,2024-12-06,UBL,906.0,10,3,1943.55,1964.95,1960.0,1985.85,2007.70,5
21,2024-12-06,ULTRACEMCO,3736.0,50,0,11702.65,11798.65,11857.9,11894.05,12001.75,2
22,2024-12-06,UNIONBANK,1632.0,0.5,1,127.25,128.30,128.8,128.30,129.10,3
23,2024-12-06,UNITDSPR,969.0,10,2,1505.45,1523.25,1516.85,1542.10,1563.90,3
24,2024-12-06,UPL,2362.4059040590405,2.025,0,557.45,562.05,562.0,566.90,571.45,0
25,2024-12-06,VBL,2741.0,5,4,621.55,631.70,642.7,641.35,652.70,3
26,2024-12-06,VEDL,2804.0,5,2,464.55,473.75,501.4,483.05,493.30,0
27,2024-12-06,VOLTAS,2165.0,10,0,1666.40,1684.75,1714.0,1705.00,1725.25,0
28,2024-12-06,WIPRO,3606.0,1.25,0,292.65,295.15,297.4,297.65,300.00,0
29,2024-12-06,YESBANK,274.0,0.5,0,19.45,20.40,21.53,21.35,22.30,1
30,2024-12-06,ZOMATO,5713.0,2.5,0,291.25,296.50,302.45,301.45,306.30,1
31,2024-12-06,ZYDUSLIFE,879.0,10,4,950.25,969.10,995.0,987.75,1008.10,0
32,2024-12-06,AARTIIND,837.0,5,5,436.25,444.70,452.0,453.65,462.95,0
33,2024-12-06,ABB,1779.0,50,0,7428.35,7515.40,7545.0,7608.45,7750.00,2
34,2024-12-06,ABBOTINDIA,302.0,250,1,28258.20,null,29128.10,null,null,4
35,2024-12-06,ABCAPITAL,1908.0,1.25,2,195.66,197.91,198.65,200.51,204.56,2
36,2024-12-06,ABFRL,844.0,2.5,2,302.20,306.35,306.75,310.95,316.20,1
37,2024-12-06,ACC,2313.0,10,0,2238.40,2258.10,2257.05,2279.65,2299.05,0
38,2024-12-06,ADANIENSOL,1400.0,10,2,787.70,806.75,807.5,828.30,848.10,1
39,2024-12-06,ADANIENT,5659.0,10,0,2498.65,2518.55,2504.9,2536.65,2555.00,0
40,2024-12-06,ADANIGREEN,2555.0,10,3,1191.20,1211.40,1209.5,1231.05,1250.00,0
