datetime,open,high,low,close,volume
2024-10-18 09:15:00,7710.55,7744.3,7710.0,7727.75,344
2024-10-18 09:16:00,7712.9,7740.0,7711.05,7732.75,529
2024-10-18 09:17:00,7744.15,7744.2,7730.6,7730.6,49
2024-10-18 09:18:00,7727.15,7743.8,7720.0,7741.95,88
2024-10-18 09:19:00,7734.5,7745.0,7734.5,7743.9,108
2024-10-18 09:20:00,7744.15,7744.15,7723.4,7723.4,103
2024-10-18 09:21:00,7725.6,7737.4,7725.6,7732.6,117
2024-10-18 09:22:00,7730.0,7732.9,7703.2,7703.2,187
2024-10-18 09:23:00,7703.2,7707.85,7700.0,7700.1,313
2024-10-18 09:24:00,7705.0,7717.45,7705.0,7717.45,203
2024-10-18 09:25:00,7717.45,7748.2,7714.15,7714.15,169
2024-10-18 09:26:00,7719.65,7749.65,7719.65,7749.65,126
2024-10-18 09:27:00,7743.0,7754.0,7743.0,7754.0,103
2024-10-18 09:28:00,7749.4,7750.0,7745.95,7750.0,52
2024-10-18 09:29:00,7744.35,7744.35,7740.0,7741.55,33
2024-10-18 09:30:00,7735.1,7763.15,7735.0,7763.15,100
2024-10-18 09:31:00,7764.95,7788.4,7764.95,7772.75,170
2024-10-18 09:32:00,7771.85,7778.5,7770.05,7774.1,58
2024-10-18 09:33:00,7779.0,7783.05,7772.05,7772.05,146
2024-10-18 09:34:00,7770.05,7779.15,7769.95,7779.15,131
2024-10-18 09:35:00,7779.9,7794.95,7779.9,7794.4,94
2024-10-18 09:36:00,7786.55,7793.95,7782.55,7785.75,46
2024-10-18 09:37:00,7782.55,7793.55,7782.55,7787.35,128
2024-10-18 09:38:00,7787.35,7787.65,7775.1,7775.1,60
2024-10-18 09:39:00,7790.9,7790.9,7781.8,7785.0,21
2024-10-18 09:40:00,7785.05,7805.0,7785.05,7795.7,101
2024-10-18 09:41:00,7795.7,7796.1,7790.0,7795.0,94
2024-10-18 09:42:00,7789.75,7795.8,7789.65,7789.65,6
2024-10-18 09:43:00,7789.65,7789.65,7778.2,7778.2,33
2024-10-18 09:44:00,7784.9,7784.9,7778.25,7780.0,19
2024-10-18 09:45:00,7785.5,7789.2,7774.8,7775.05,105
2024-10-18 09:46:00,7774.45,7774.7,7769.05,7774.7,31
2024-10-18 09:47:00,7766.25,7772.4,7766.25,7772.4,17
2024-10-18 09:48:00,7777.9,7794.45,7777.9,7788.25,25
2024-10-18 09:49:00,7793.95,7793.95,7793.95,7793.95,1
2024-10-18 09:50:00,7793.85,7793.85,7786.45,7786.45,8
2024-10-18 09:51:00,7787.75,7789.0,7782.15,7788.6,93
2024-10-18 09:52:00,7783.25,7783.25,7782.95,7783.0,8
2024-10-18 09:53:00,7776.4,7778.1,7767.45,7767.45,17
2024-10-18 09:54:00,7767.4,7767.4,7753.85,7759.7,24
2024-10-18 09:55:00,7752.8,7759.2,7745.5,7755.6,32
2024-10-18 09:56:00,7753.95,7773.3,7751.9,7766.7,153
2024-10-18 09:57:00,7760.0,7760.0,7758.95,7758.95,6
2024-10-18 09:58:00,7756.95,7761.4,7752.55,7758.05,17
2024-10-18 09:59:00,7762.35,7762.35,7756.45,7756.45,5
2024-10-18 10:00:00,7756.45,7763.65,7746.1,7757.95,47
2024-10-18 10:01:00,7754.4,7766.0,7754.4,7762.85,102
2024-10-18 10:02:00,7757.85,7763.0,7757.7,7761.75,20
2024-10-18 10:03:00,7765.45,7769.4,7764.6,7769.4,16
2024-10-18 10:04:00,7769.4,7782.0,7769.4,7782.0,70
2024-10-18 10:05:00,7776.45,7784.6,7769.4,7784.6,368
2024-10-18 10:06:00,7784.6,7784.65,7784.25,7784.65,41
2024-10-18 10:07:00,7784.6,7788.65,7782.7,7788.0,239
2024-10-18 10:08:00,7788.0,7793.65,7783.35,7790.35,170
2024-10-18 10:09:00,7790.35,7810.35,7790.35,7800.0,641
2024-10-18 10:10:00,7804.45,7807.8,7792.95,7797.15,211
2024-10-18 10:11:00,7796.5,7799.35,7789.0,7798.8,162
2024-10-18 10:12:00,7798.8,7809.4,7793.4,7797.35,216
2024-10-18 10:13:00,7789.05,7790.0,7780.5,7780.5,146
2024-10-18 10:14:00,7780.5,7798.9,7780.0,7780.3,109
2024-10-18 10:15:00,7785.05,7787.25,7773.8,7773.8,24
2024-10-18 10:16:00,7772.05,7773.75,7765.7,7765.7,103
2024-10-18 10:17:00,7765.7,7769.45,7756.5,7756.5,205
2024-10-18 10:18:00,7756.5,7756.5,7745.35,7752.5,114
2024-10-18 10:20:00,7760.05,7760.8,7760.05,7760.8,2
2024-10-18 10:21:00,7760.7,7760.7,7753.9,7753.9,5
2024-10-18 10:22:00,7752.5,7791.8,7752.15,7786.75,8
2024-10-18 10:23:00,7785.35,7787.4,7780.6,7780.8,539
2024-10-18 10:24:00,7780.8,7780.8,7772.9,7774.5,86
2024-10-18 10:25:00,7774.5,7779.95,7770.3,7774.5,67
2024-10-18 10:26:00,7771.2,7774.8,7769.95,7774.8,49
2024-10-18 10:27:00,7777.5,7786.1,7777.5,7779.9,64
2024-10-18 10:28:00,7779.85,7779.85,7771.9,7775.85,39
2024-10-18 10:29:00,7775.85,7775.85,7775.85,7775.85,1
2024-10-18 10:30:00,7779.95,7786.1,7779.95,7786.1,13
2024-10-18 10:31:00,7781.3,7785.45,7780.85,7785.45,20
2024-10-18 10:32:00,7780.05,7783.7,7777.2,7777.2,7
2024-10-18 10:34:00,7778.45,7784.85,7776.8,7784.85,41
2024-10-18 10:35:00,7783.55,7783.55,7779.3,7779.3,3
2024-10-18 10:37:00,7781.15,7781.15,7776.9,7776.9,11
2024-10-18 10:38:00,7779.9,7779.9,7779.65,7779.65,10
2024-10-18 10:39:00,7779.95,7779.95,7776.0,7779.95,7
2024-10-18 10:40:00,7780.0,7780.0,7780.0,7780.0,3
2024-10-18 10:42:00,7780.1,7780.1,7779.6,7779.6,5
2024-10-18 10:43:00,7779.55,7785.9,7779.55,7785.9,2
2024-10-18 10:44:00,7786.05,7786.1,7786.05,7786.1,22
2024-10-18 10:45:00,7793.15,7800.0,7793.15,7798.9,162
2024-10-18 10:46:00,7797.75,7797.75,7788.5,7790.1,299
2024-10-18 10:47:00,7790.1,7790.1,7781.65,7781.65,12
2024-10-18 10:48:00,7782.2,7782.2,7782.2,7782.2,1
2024-10-18 10:49:00,7788.6,7788.6,7782.65,7782.65,4
2024-10-18 10:50:00,7782.65,7782.65,7782.65,7782.65,11
2024-10-18 10:51:00,7781.8,7781.8,7776.35,7776.35,12
2024-10-18 10:52:00,7781.95,7782.2,7781.9,7781.9,16
2024-10-18 10:53:00,7777.7,7777.7,7776.0,7777.05,11
2024-10-18 10:54:00,7777.55,7784.7,7777.55,7784.7,10
2024-10-18 10:55:00,7784.95,7784.95,7784.95,7784.95,2
2024-10-18 10:56:00,7788.5,7788.5,7788.5,7788.5,1
2024-10-18 10:57:00,7797.25,7797.4,7789.4,7796.35,53
2024-10-18 10:58:00,7791.15,7794.15,7788.6,7788.6,10
2024-10-18 10:59:00,7784.3,7784.3,7784.3,7784.3,1
2024-10-18 11:00:00,7790.0,7790.0,7785.0,7786.25,36
2024-10-18 11:01:00,7790.05,7790.05,7790.0,7790.0,2
2024-10-18 11:02:00,7785.35,7790.0,7783.65,7790.0,16
2024-10-18 11:03:00,7790.0,7790.05,7790.0,7790.05,2
2024-10-18 11:04:00,7790.05,7790.05,7780.75,7780.75,2
2024-10-18 11:05:00,7785.95,7786.0,7779.9,7783.35,69
